,GEOID,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16
1117,36061002100,20432.21567,19890.58047,23798.48487,28270.81291,26066.78416,27012.38918,26601.39623,30193.19713,29127.00247,30817.14045,30029.85968,30226.07252
1118,36061002201,2341.518294,2612.999252,2950.400323,3213.108784,3065.083622,3293.900451,3133.240618,3488.058168,3744.141355,4041.087757,4290.929211,4291.724311
1119,36061002202,1607.347557,1993.191537,2079.240357,2364.532144,2231.710954,2340.968575,2356.67115,2673.326438,2659.70803,2814.49268,2877.25438,2974.455901
1120,36061002400,5267.895612,6503.196434,6797.763382,7730.268626,7305.331314,7651.581307,7720.424439,8733.042777,8707.252472,9234.554711,9442.968584,9767.37527
1121,36061002500,2771.954585,2835.237552,3060.005661,3451.48026,3266.885914,3505.816532,3272.02429,3911.176413,3933.111711,3917.565445,4266.906231,4173.394606
1122,36061002601,3038.854787,3768.383774,3931.036419,4470.411929,4219.296952,4425.865082,4455.577025,5054.259226,5028.500783,5321.14347,5439.79537,5623.588619
1123,36061002602,2971.449037,3684.786004,3843.836417,4371.2497,4125.704894,4327.688389,4356.737167,4942.137793,4916.949547,5203.09802,5319.117093,5498.828989
1124,36061002700,1226.26128,1252.353784,1350.50307,1523.473907,1442.17243,1548.270425,1444.332405,1727.202794,1736.101893,1727.980385,1882.807428,1841.076702
1125,36061002800,5264.401117,6530.381062,6812.168534,7747.34693,7311.538896,7669.953718,7720.658121,8758.243948,8713.765618,9221.252398,9426.968052,9743.04668
1126,36061002900,5768.58553,5895.688763,6366.068844,7182.982485,6798.06195,7294.253963,6809.378327,8138.409281,8178.97372,8148.376046,8867.553286,8673.579412
1127,36061003001,11630.95275,12769.40699,14083.15444,16226.12353,15522.48421,16201.26474,16589.77561,18692.33304,18337.39011,19482.47567,20197.67909,19832.87245
1128,36061003002,7690.94077,8526.978323,9499.23566,11046.33692,10422.1783,10676.90025,10341.40841,11654.34176,11473.34427,11912.72273,12115.94674,12123.66013
1129,36061003100,17238.25093,16771.11203,20073.38518,23846.3499,21985.65944,22784.15986,22443.07158,25473.97032,24568.23521,25993.57456,25327.13894,25484.84121
1130,36061003200,21320.66444,23638.36136,26333.67941,30622.58456,28892.22535,29598.26536,28667.92872,32307.57807,31805.84863,33023.72783,33586.96682,33608.47884
1131,36061003300,28817.38009,28032.25818,33558.08278,39869.17139,36756.72044,38089.58527,37523.1166,42587.46319,41068.75807,43455.08197,42333.23995,42598.63443
1132,36061003400,15676.51533,17382.84297,19364.08112,22517.83705,21245.11156,21764.82883,21080.77286,23757.35877,23388.64863,24284.708,24699.03279,24714.06238
1133,36061003601,9350.787644,10266.0925,11322.33868,13045.25378,12479.51344,13025.26665,13337.47104,15027.96705,14742.5488,15663.10868,16238.10659,15944.76934
1134,36061003602,8717.323387,9664.921336,10766.94903,12520.52139,11813.06955,12101.79552,11721.52584,13209.6921,13004.5284,13502.56085,13732.9053,13741.61529
1135,36061003700,27680.07864,26744.97519,34156.74902,37067.4846,33805.59909,34745.26988,34412.46905,43823.03067,39742.72282,39516.77559,41711.85665,40813.75307
1136,36061003800,19822.00777,21976.77799,24482.64763,28470.0834,26861.3536,27517.76197,26652.81334,30036.62626,29570.16194,30702.43133,31226.07796,31246.07006
1137,36061003900,27010.80514,26280.43894,31456.17327,37370.97535,34454.36716,35705.98615,35173.58264,39922.01359,38499.48451,40733.73893,39687.13802,39939.98531
1138,36061004000,17467.30477,19365.0169,21573.54475,25087.21207,23669.47359,24248.44235,23485.81465,26467.61221,26056.72071,27054.17953,27515.68567,27533.55206
1139,36061004100,22379.09285,25376.80953,29003.38959,34400.19325,32054.99775,34243.11224,31764.34845,38548.86202,36681.44746,37966.21036,39402.61255,37748.01776
1140,36061004200,8384.133845,9293.701307,10354.48046,12041.05096,11360.40023,11638.99206,11272.22862,12703.68156,12506.52017,12984.91871,13206.48819,13215.07884
1141,36061004300,17456.87453,19795.56982,22624.7845,26834.85808,25005.38361,26712.24253,24778.60238,30071.08155,28614.12084,29616.51464,30736.77427,29445.96091
1142,36061004400,12042.23103,16885.45476,17636.272,20564.80919,18800.37727,20154.00939,19461.0712,22231.45442,22279.04255,23923.21842,24551.57569,22950.50563
1143,36061004500,12275.84024,13920.40088,15910.12803,18870.59446,17584.13211,18784.32611,17424.58387,21146.29515,20121.67436,20826.54693,21614.2526,20706.55026
1144,36061004700,19009.77996,21671.87719,27526.49628,30531.80831,29439.87349,30087.79305,28198.09503,33919.20863,31301.70642,32304.08939,32867.36739,31082.13866
1145,36061004800,16675.67037,16067.53372,18927.81463,22080.43867,20474.75776,22221.53682,20538.03256,23289.60697,23252.93003,23525.92673,24109.78601,24677.05648
1146,36061004900,23809.40145,27146.44386,34479.84208,38244.90472,36878.2493,37689.82309,35321.49402,42486.46133,39208.29028,40464.84478,41169.5295,38932.41443
